lat,lon,phh2o,clay,soc,sand,silt,nitrogen
22.0,24.7,8.1,20.7,3.0,52.2,27.1,10.4
22.0,25.2,8.1,13.8,8.6,57.1,29.1,15.8
22.0,25.7,8.1,11.3,4.4,63.7,25.0,7.7
22.0,26.2,8.1,11.4,5.4,61.7,26.9,7.2
22.0,26.7,8.1,11.2,3.1,63.2,25.6,6.3
22.0,27.2,8.1,9.4,3.7,68.6,22.0,9.9
22.0,27.7,8.0,8.7,3.3,73.1,18.2,11.3
22.0,28.2,8.0,7.3,5.3,74.4,18.4,11.9
22.0,28.7,7.9,8.4,3.4,79.0,12.6,11.7
22.0,29.2,8.0,15.1,3.1,73.1,11.7,10.6
22.0,29.7,8.1,19.2,3.1,65.0,15.7,13.9
22.0,30.2,8.1,14.5,3.6,68.1,17.5,10.6
22.0,30.7,8.1,13.2,5.3,59.0,27.8,12.7
22.0,31.2,8.1,9.7,3.2,77.6,12.7,10.2
22.0,31.7,8.1,10.8,3.4,65.7,23.5,6.5
22.0,32.2,8.1,13.4,4.3,60.1,26.6,10.8
22.0,32.7,8.0,15.5,7.5,56.7,27.7,12.1
22.0,33.2,8.0,12.7,5.4,58.1,29.1,11.6
22.0,33.7,8.0,14.0,3.9,55.1,30.9,6.2
22.0,34.2,8.1,17.2,3.9,52.9,29.9,12.2
22.0,34.7,8.1,18.9,3.8,47.2,33.8,9.6
22.0,35.2,8.1,16.5,8.2,48.4,35.1,14.9
22.0,35.7,8.1,17.8,10.0,45.8,36.4,11.7
22.0,36.2,8.0,18.6,8.6,46.8,34.6,15.1
22.0,36.7,8.0,20.1,5.5,53.3,26.6,8.3
22.5,24.7,8.1,22.1,3.8,49.2,28.8,6.6
22.5,25.2,8.0,11.5,4.3,57.3,31.2,7.1
22.5,25.7,8.1,15.3,5.5,56.7,28.0,8.4
22.5,26.2,8.1,13.9,3.0,60.2,25.9,7.2
22.5,26.7,8.2,9.8,3.5,64.2,25.9,11.3
22.5,27.2,8.1,9.3,4.0,68.4,22.3,15.0
22.5,27.7,8.1,10.1,5.0,73.4,16.5,11.8
22.5,28.2,8.1,10.6,4.9,73.6,15.8,12.2
22.5,28.7,8.1,7.9,4.9,83.0,9.1,11.8
22.5,29.2,8.1,16.4,2.9,73.5,10.1,14.6
22.5,29.7,8.1,18.5,2.6,61.0,20.6,11.1
22.5,30.2,8.2,19.2,2.9,64.6,16.3,10.1
22.5,30.7,8.1,19.7,2.9,59.5,20.8,10.0
22.5,31.2,8.1,22.8,2.7,58.8,18.4,14.7
22.5,32.2,8.0,12.2,5.9,61.1,26.7,7.7
22.5,32.7,8.1,13.9,4.8,57.9,28.2,11.7
22.5,33.2,8.0,13.2,6.1,55.7,31.1,12.2
22.5,33.7,8.1,17.1,4.2,52.8,30.1,7.2
22.5,34.2,8.0,15.3,4.6,49.7,35.0,6.9
22.5,34.7,8.1,13.6,5.3,50.0,36.4,10.0
22.5,35.2,8.1,18.3,5.4,51.1,30.6,12.9
22.5,35.7,8.0,19.9,4.2,53.9,26.2,6.8
22.5,36.2,8.0,17.5,5.8,51.1,31.4,11.2
23.0,24.7,8.1,21.3,4.2,54.0,24.7,7.1
23.0,25.2,8.1,21.0,3.9,53.5,25.5,10.8
23.0,25.7,8.1,22.2,4.6,47.4,30.4,10.5
23.0,26.2,8.1,13.8,4.1,57.2,29.0,9.6
23.0,26.7,8.2,20.7,3.5,54.7,24.6,10.3
23.0,27.2,8.1,9.5,3.8,65.2,25.3,11.7
23.0,27.7,8.1,9.1,2.9,73.4,17.6,11.5
23.0,28.2,8.1,8.9,3.5,76.5,14.6,11.8
23.0,28.7,8.2,7.3,5.0,83.9,8.8,15.4
23.0,29.2,8.1,16.8,4.1,66.2,17.0,15.6
23.0,29.7,8.1,21.0,3.9,60.2,18.8,12.4
23.0,30.2,8.1,24.4,4.2,56.0,19.5,17.4
23.0,30.7,8.1,27.1,2.9,55.1,17.8,16.5
23.0,31.2,8.0,24.5,3.1,53.5,21.9,17.4
23.0,31.7,8.1,25.6,4.8,55.0,19.4,16.4
23.0,32.2,8.1,19.2,4.8,65.2,15.5,18.0
23.0,33.2,8.1,14.2,4.3,60.2,25.5,6.9
23.0,33.7,8.1,14.1,3.9,57.6,28.3,6.9
23.0,34.2,8.0,15.3,6.3,49.3,35.5,13.6
23.0,34.7,8.1,15.5,4.8,53.9,30.6,11.3
23.0,35.2,8.1,17.6,6.1,57.3,25.1,8.1
23.5,24.7,8.1,21.1,4.5,54.7,24.2,6.4
23.5,25.2,8.1,22.0,5.0,50.1,28.0,11.4
23.5,25.7,8.1,13.1,3.0,57.1,29.8,7.1
23.5,26.2,8.2,27.3,2.5,46.0,26.8,6.0
23.5,26.7,8.2,22.7,2.6,53.2,24.1,6.1
23.5,27.2,8.2,27.0,3.2,47.9,25.1,6.0
23.5,27.7,8.2,13.2,3.1,63.6,23.2,10.7
23.5,28.2,8.2,10.8,2.3,73.9,15.3,11.2
23.5,28.7,8.1,8.8,3.9,76.8,14.4,15.7
23.5,29.2,8.1,17.1,4.4,65.0,18.0,12.8
23.5,29.7,8.1,23.9,2.9,58.7,17.4,17.5
23.5,30.2,8.2,26.3,3.4,53.4,20.3,16.6
23.5,30.7,8.1,22.0,3.1,58.4,19.6,12.9
23.5,31.2,8.1,21.5,3.9,59.8,18.7,17.3
23.5,31.7,8.2,12.7,3.3,59.1,28.2,7.1
23.5,32.2,8.1,24.9,7.3,50.3,24.8,14.3
23.5,33.2,7.9,16.5,4.5,52.7,30.8,11.0
23.5,33.7,8.0,17.0,3.3,55.7,27.4,10.0
23.5,34.2,8.0,15.3,3.3,60.6,24.1,13.5
23.5,34.7,8.0,15.1,3.6,52.9,32.0,9.8
23.5,35.2,8.1,20.1,9.2,48.5,31.4,12.0
24.0,24.7,8.1,22.1,3.1,50.8,27.0,9.8
24.0,25.2,8.1,26.9,4.1,47.6,25.5,5.6
24.0,25.7,8.1,27.7,5.6,46.3,26.0,7.5
24.0,26.2,8.1,15.4,2.8,55.6,29.0,5.3
24.0,26.7,8.1,27.6,3.5,46.1,26.2,7.1
24.0,27.2,8.2,22.1,2.9,54.5,23.4,6.0
24.0,27.7,8.2,13.4,3.3,59.2,27.4,10.2
24.0,28.2,8.2,11.1,2.2,70.6,18.3,10.9
24.0,28.7,8.1,12.1,2.6,69.4,18.5,11.3
24.0,29.2,8.2,19.3,2.4,64.3,16.4,11.0
